Table,Key,en,pt,es
UI_Common,ui_common.yes,Yes,Sim,Sí
UI_Common,ui_common.no,No,Não,No
UI_Common,ui_common.ok,OK,OK,OK
UI_Common,ui_common.cancel,Cancel,Cancelar,Cancelar
UI_Common,ui_common.close,Close,Fechar,Cerrar
UI_Common,ui_common.buy,Buy,Comprar,Comprar
UI_Common,ui_common.give,Give,Dar,Dar
UI_Common,ui_common.unassigned,Unassigned,Não atribuído,Sin asignar
UI_Common,ui_common.gold_amount,{0}g,{0}g,{0}g
UI_Common,ui_common.gold_label,Gold: {0},Ouro: {0},Oro: {0}
UI_Common,ui_common.money_label,Money: ${0},Dinheiro: ${0},Dinero: ${0}
MainMenu,mainmenu.quit_confirm,Are you sure you want to quit the game?,Tem certeza de que deseja sair do jogo?,¿Seguro que quieres salir del juego?
MainMenu,mainmenu.quit_title,Quit Game,Sair do Jogo,Salir del juego
MainMenu,mainmenu.load_game_title,Load Game,Carregar Jogo,Cargar partida
MainMenu,mainmenu.new_game_title,New Game — Choose Slot,Novo Jogo — Escolha o Slot,Nueva partida — Elige ranura
MainMenu,mainmenu.loading_progress,Loading... {0:P0},Carregando... {0:P0},Cargando... {0:P0}
MainMenu,mainmenu.loading_save_data,Loading save data...,Carregando dados salvos...,Cargando datos guardados...
MainMenu,mainmenu.initializing_new_game,Initializing new game...,Inicializando novo jogo...,Inicializando nueva partida...
MainMenu,mainmenu.save_file_found_title,Save File Found,Arquivo de Save Encontrado,Archivo de guardado encontrado
MainMenu,mainmenu.save_file_label,File: {0},Arquivo: {0},Archivo: {0}
MainMenu,mainmenu.save_size_label,Size: {0}KB,Tamanho: {0}KB,Tamaño: {0}KB
MainMenu,mainmenu.save_last_saved_label,Last Saved: {0},Último salvamento: {0},Último guardado: {0}
MainMenu,mainmenu.gamemenu.settings_not_configured,Settings panel not configured!,Painel de configurações não configurado!,¡Panel de ajustes no configurado!
MainMenu,mainmenu.gamemenu.saveinfo_not_configured,Save info panel not configured!,Painel de informações de save não configurado!,¡Panel de información de guardado no configurado!
MainMenu,mainmenu.gamemenu.save_info_found,"📄 Save File Information\n\n📁 File: {0}\n📅 Created: {1}\n🕒 Last Saved: {2}\n💾 Size: {3}\n\n💡 Game saves automatically when you sleep in bed","📄 Informações do Save\n\n📁 Arquivo: {0}\n📅 Criado: {1}\n🕒 Último salvamento: {2}\n💾 Tamanho: {3}\n\n💡 O jogo salva automaticamente quando você dorme na cama","📄 Información de guardado\n\n📁 Archivo: {0}\n📅 Creado: {1}\n🕒 Último guardado: {2}\n💾 Tamaño: {3}\n\n💡 El juego se guarda automáticamente cuando duermes en la cama"
